,1,2,3,4,5,6,B
717,32,19,2,25,11,28,44
718,32,39,20,23,11,4,40
719,8,19,4,43,13,20,26
720,34,12,29,36,1,37,41
721,43,41,35,28,1,44,31
722,21,39,12,43,30,14,45
723,20,35,36,33,30,44,22
724,37,2,33,35,8,41,14
725,6,43,7,21,19,41,38
726,1,11,23,21,44,34,24
727,31,8,7,10,21,19,20
728,10,6,37,3,30,34,36
729,45,17,21,26,36,11,16
730,10,4,14,15,22,18,39
731,42,45,7,25,2,13,39
732,32,27,5,4,17,2,43
733,24,32,35,40,11,33,13
734,45,37,41,16,38,6,18
735,13,37,5,27,10,41,4
736,17,27,21,18,11,2,6
737,15,18,27,24,41,13,11
738,28,27,43,38,23,42,36
739,29,34,7,35,33,22,30
740,8,9,19,16,4,17,31
741,21,27,44,45,34,5,16
742,8,10,36,37,40,13,6
743,41,19,21,34,44,15,10
744,34,10,21,41,15,18,43
745,23,12,3,1,2,9,10
746,45,42,33,36,12,3,25
747,14,23,9,12,28,7,17
748,13,32,3,10,31,22,29
749,26,45,34,14,24,12,41
750,2,24,15,1,36,19,12
751,20,16,4,44,28,3,17
752,20,4,33,43,16,40,7
753,2,17,24,19,37,41,3
754,8,31,29,17,2,24,32
755,30,36,14,28,13,26,37
756,14,16,28,18,10,27,4
757,11,33,6,44,17,7,1
758,5,30,12,43,39,9,24
759,33,43,40,36,9,42,32
760,22,43,10,27,42,31,12
761,4,11,42,45,24,7,30
762,3,41,26,1,12,21,16
763,8,34,43,32,16,3,10
764,7,24,34,22,36,31,15
765,1,8,42,43,12,3,33
766,30,35,39,41,9,34,21
767,42,34,15,5,31,20,22
768,44,38,30,7,27,29,4
769,41,16,11,5,7,45,4
770,12,1,23,43,39,9,34
771,18,17,6,21,10,29,30
772,5,11,21,6,14,41,32
773,35,8,19,12,31,21,44
774,18,12,34,42,15,28,9
775,42,33,38,29,11,12,17
776,8,18,9,28,40,21,20
777,21,17,34,12,6,37,18
778,35,37,6,36,41,21,11
779,24,34,6,12,41,19,4
780,21,15,45,27,17,19,16
781,39,19,18,24,11,16,43
782,45,34,31,38,6,18,20
783,16,38,17,45,15,14,36
784,31,24,10,39,23,3,22
785,25,33,6,15,26,4,40
786,30,20,24,12,15,16,38
787,6,5,16,28,27,13,9
788,2,11,19,39,35,10,29
789,19,2,12,7,6,45,38
790,3,27,8,30,41,19,12
791,10,42,33,2,12,31,32
792,7,36,29,25,19,2,16
793,21,35,43,15,38,10,31
794,6,7,19,30,38,18,13
795,34,13,26,38,3,10,36
796,26,21,40,1,41,36,5
797,32,39,45,5,22,31,36
798,10,32,2,14,36,22,41
799,17,34,45,23,42,12,33
800,1,28,10,12,4,45,26
801,37,17,25,43,44,28,2
802,12,18,24,11,42,10,27
803,26,9,5,14,43,30,2
804,36,26,13,1,10,32,9
805,18,32,12,3,31,13,42
806,37,23,31,38,14,20,27
807,35,10,34,18,6,25,33
808,21,31,32,43,41,15,24
809,11,23,40,17,6,15,39
810,5,39,13,21,10,43,11
811,45,19,11,36,8,21,25
812,14,12,3,1,16,43,10
813,30,35,11,34,42,44,27
814,45,38,21,42,28,2,30
815,36,25,26,17,21,27,4
816,18,31,12,39,29,19,7
817,12,3,13,25,9,43,34
818,15,30,29,14,28,25,3
819,25,16,33,38,45,40,15
820,42,30,10,21,22,35,6
821,1,24,44,13,12,29,16
822,27,24,18,36,9,20,12
823,40,39,26,24,18,12,15
824,7,9,24,29,34,38,26
825,38,15,21,8,31,33,42
826,16,24,13,25,33,36,42
827,11,12,5,44,29,33,14
828,29,13,39,4,7,31,18
829,4,31,45,35,43,5,29
830,18,16,37,5,38,6,17
831,19,3,39,16,10,31,9
832,43,13,40,14,26,19,30
833,42,41,30,12,18,39,19
834,42,35,43,6,18,8,3
835,45,28,10,9,13,38,35
836,28,9,1,14,11,26,19
837,2,30,28,45,33,25,6
838,33,38,9,14,36,17,20
839,13,12,3,11,19,9,35
840,2,28,43,29,11,4,27
841,14,33,38,5,30,11,24
842,26,32,42,36,14,39,38
843,21,30,34,19,33,42,4
844,45,8,7,15,13,33,18
845,29,1,16,33,40,45,6
846,45,30,41,5,43,18,13
847,30,16,28,12,26,42,22
848,16,2,39,38,22,1,34
849,34,5,13,39,17,29,3
850,28,24,20,36,39,16,5
851,18,22,14,26,31,44,40
852,28,33,17,30,11,35,9
853,26,2,8,44,23,27,13
854,25,20,43,36,31,32,3
855,44,8,17,15,19,43,7
856,40,10,43,24,41,44,17
857,6,38,28,10,34,16,43
858,13,43,32,9,38,39,23
859,22,38,41,8,35,39,24
860,25,8,4,32,18,27,42
861,19,21,22,11,17,25,24
862,40,10,43,42,34,38,32
863,43,35,39,16,21,28,12
864,36,13,3,10,7,25,32
865,32,3,15,45,33,22,2
866,39,15,29,34,37,9,12
867,14,22,17,19,40,24,41
868,12,43,44,17,41,28,25
869,20,37,39,6,2,27,4
870,32,40,30,21,25,42,31
871,26,12,30,34,6,2,38
